time_sec,avg_rtt_ms
1,112.68
2,95.99
3,88.52
4,90.84
5,86.21
6,86.92
7,84.54
8,80.89
9,87.89
10,82.86
11,89.51
12,84.3
13,84.48
14,84.67
15,82.76
16,85.73
17,86.38
18,86.29
19,85.79
21,85.01
22,85.81
23,88.02
24,86.52
25,84.39
26,87.9
27,85.94
28,83.27
29,87.12
30,85.07
31,87.33
32,85.46
33,85.67
34,88.33
35,90.59
36,84.46
37,84.76
38,88.17
39,88.22
41,87.0
42,90.05
43,88.37
44,84.33
45,84.87
46,82.67
47,87.71
48,85.83
49,85.44
50,85.39
51,84.82
52,85.72
53,89.3
54,84.88
55,89.52
56,85.15
57,87.82
58,86.91
59,86.51
