time_sec,avg_rtt_ms
1,109.42
2,76.67
3,68.59
4,66.55
5,65.36
6,59.77
7,67.24
8,71.35
9,69.94
10,66.12
11,70.09
12,69.51
13,73.07
14,70.86
15,72.0
16,75.4
17,72.1
18,68.86
20,71.85
21,66.31
22,75.58
23,66.64
24,68.02
25,68.65
26,68.96
27,68.04
28,69.87
29,73.08
30,66.0
31,69.14
32,70.81
33,66.71
34,73.96
35,71.99
36,66.97
37,70.97
38,67.79
39,66.78
40,67.55
41,69.48
42,70.75
43,66.21
44,71.7
45,66.18
46,69.97
47,68.77
48,66.51
49,69.14
50,68.65
51,64.59
52,75.25
53,67.45
54,69.68
55,72.13
56,64.95
57,70.57
58,61.59
59,70.81
