time_sec,avg_rtt_ms
1,120.12
2,71.28
3,65.9
4,67.54
5,61.68
6,72.81
7,64.69
8,64.27
9,62.47
10,67.03
11,70.51
12,69.71
13,70.2
14,67.29
15,67.36
16,65.26
17,64.13
18,67.16
19,65.86
20,75.77
21,74.19
22,68.76
23,66.15
24,69.3
25,73.12
26,69.96
27,68.04
28,62.61
29,68.98
30,68.88
31,64.89
32,65.5
33,70.38
34,67.02
35,63.87
36,69.49
37,64.06
38,73.56
39,71.38
40,65.53
41,74.4
42,67.37
43,73.68
44,66.64
45,67.42
46,69.33
47,64.06
48,65.09
49,65.28
50,64.36
51,70.77
52,71.71
53,64.62
54,65.49
55,67.37
56,75.74
57,67.53
58,60.55
59,73.77
