time_sec,avg_rtt_ms
1,90.94
2,94.75
3,81.73
4,83.59
5,83.67
6,79.6
7,86.25
8,71.33
9,77.02
10,89.75
11,80.28
12,78.07
13,88.56
14,82.85
15,76.53
16,82.17
17,86.69
18,81.31
19,71.45
20,76.57
21,81.54
22,72.65
23,67.37
24,79.74
25,92.14
26,82.41
27,82.43
28,83.27
29,79.22
30,85.79
31,73.19
32,88.67
33,82.6
34,85.35
35,87.98
36,68.86
37,77.61
38,58.06
39,80.49
40,82.81
41,86.49
42,89.17
43,77.38
44,85.44
45,89.94
46,82.37
47,88.26
48,87.4
49,92.94
50,81.18
51,80.62
52,76.16
53,88.27
54,79.19
55,77.73
56,69.02
57,77.87
58,81.25
59,95.63
