time_sec,avg_rtt_ms
1,74.51
2,70.95
3,69.17
4,72.39
5,73.16
6,61.02
7,65.08
8,62.32
9,67.54
10,62.5
11,71.03
12,72.19
13,71.3
14,69.69
15,70.86
16,76.22
17,74.02
18,66.1
19,70.34
20,76.42
21,78.56
22,65.68
23,70.06
24,68.01
25,69.38
26,73.49
27,70.1
28,70.9
29,70.12
30,71.6
31,69.34
32,74.63
33,67.66
34,73.46
35,68.0
36,66.93
37,71.63
38,69.76
39,73.8
40,69.64
41,66.32
42,68.7
43,61.28
44,66.37
45,71.31
46,70.4
47,71.7
48,73.71
49,69.73
50,66.92
51,67.33
52,72.07
53,65.59
54,65.19
55,69.92
56,62.71
57,68.7
58,68.01
59,72.35
