time_sec,avg_rtt_ms
1,74.04
2,81.05
3,73.76
4,68.32
5,71.83
6,69.99
7,61.75
8,62.9
9,68.26
10,69.61
11,79.34
12,63.64
13,68.62
14,69.38
15,75.73
16,80.08
17,68.15
18,75.78
20,74.16
21,67.09
22,74.28
23,73.33
24,72.98
25,78.39
26,71.87
27,75.14
28,70.34
29,71.8
30,70.57
31,68.79
32,77.59
33,78.77
34,68.51
35,71.38
36,70.8
37,71.53
38,70.64
39,67.97
40,72.55
41,70.15
42,71.31
43,75.69
44,70.46
45,65.74
46,72.81
47,65.7
48,68.97
49,68.35
50,73.85
51,72.69
52,72.58
53,69.98
54,71.65
55,74.17
56,78.82
57,76.33
58,73.78
59,75.11
